request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000.00 today. This leaves at least IDR 48,395,644.17 available over the next 90 days."
request_202,0,not_affordable,not_recommended,none,2025-02-13,none,"Do not proceed with the INR 123,900.00 request. None of the available options keeps the INR 147,800.00 minimum protected."
request_203,0,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments, starting 10 May 2025. This leaves at least EUR 5,511.00 available."
request_204,0,not_affordable,not_recommended,none,2026-03-15,none,"Do not proceed with the EUR 588.74 request. None of the available options keeps the EUR 1,300.00 minimum protected."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 today. This leaves at least IDR 13,998,338.91 available over the next 90 days."
request_206,0,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments, starting 03 August 2025. This leaves at least EUR 4,714.41 available."
request_207,0,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 15 July 2026, then pay ZAR 11,830.00 in full. Paying earlier would put the ZAR 13,600.00 minimum at risk."
request_208,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 4,413,000.00 request. None of the available options keeps the IDR 10,470,700.00 minimum protected."
request_209,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914.00 request. None of the available options keeps the ZAR 18,400.00 minimum protected."
request_210,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,360.02 request. None of the available options keeps the USD 2,000.00 minimum protected."
request_211,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,788.60 request. None of the available options keeps the EUR 1,500.00 minimum protected."
request_212,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000.00 request. None of the available options keeps the IDR 29,579,800.00 minimum protected."
request_213,0,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments, starting 21 January 2026. This leaves at least USD 11,667.35 available."
request_214,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 69,750.00 request. None of the available options keeps the INR 174,900.00 minimum protected."
request_215,0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments, starting 09 May 2025. This leaves at least ZAR 67,519.28 available."
request_216,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,332.40 request. None of the available options keeps the USD 1,800.00 minimum protected."
request_217,0,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments, starting 19 March 2024. This leaves at least ZAR 38,161.15 available."
request_218,0,not_affordable,not_recommended,none,2025-08-14,none,"Do not proceed with the IDR 61,142,000.00 request. None of the available options keeps the IDR 34,477,200.00 minimum protected."
request_219,0,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-14,none,"Use 3 installments, starting 07 April 2026. This leaves at least EUR 1,633.37 available."
request_220,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. None of the available options keeps the EUR 1,100.00 minimum protected."
request_221,0,affordable_later,wait,2026-01-13:109800,2026-01-13,none,"Wait until 13 January 2026, then pay INR 109,800.00 in full. Paying earlier would put the INR 81,500.00 minimum at risk."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 99,963.82 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,"Pay EUR 898.70 today. This leaves at least EUR 1,047.60 available over the next 90 days."
request_224,0,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the IDR 10,327,000.00 request. None of the available options keeps the IDR 22,187,600.00 minimum protected."
request_225,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 22,059,000.00 request. None of the available options keeps the IDR 17,670,700.00 minimum protected."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000.00 today. This leaves at least INR 239,383.22 available over the next 90 days."
request_227,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700.00 request. None of the available options keeps the INR 62,900.00 minimum protected."
request_228,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000.00 request. None of the available options keeps the IDR 26,191,200.00 minimum protected."
request_229,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,526.80 request. None of the available options keeps the EUR 1,000.00 minimum protected."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 3,531.78 available over the next 90 days."
request_231,0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-14,none,"Use 3 installments, starting 06 January 2026. This leaves at least ZAR 41,658.03 available."
request_232,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,970.10 request. None of the available options keeps the EUR 2,400.00 minimum protected."
request_233,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 6,241,000.00 request. None of the available options keeps the IDR 10,365,700.00 minimum protected."
request_234,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,213.30 request. None of the available options keeps the EUR 700.00 minimum protected."
request_235,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 967.20 request. None of the available options keeps the USD 700.00 minimum protected.
request_236,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000.00 request. None of the available options keeps the IDR 16,768,600.00 minimum protected."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000.00 today. This leaves at least IDR 67,688,566.89 available over the next 90 days."
request_238,0,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments, starting 07 December 2024. This leaves at least USD 876.76 available."
request_239,0,affordable_later,wait,2025-05-15:642,2025-05-15,none,"Wait until 15 May 2025, then pay USD 642.00 in full. Paying earlier would put the USD 600.00 minimum at risk."
request_240,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101,200.00 request. None of the available options keeps the INR 52,800.00 minimum protected."
request_241,0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments, starting 17 March 2024. This leaves at least IDR 79,373,101.03 available."
request_242,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request. None of the available options keeps the EUR 600.00 minimum protected."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 20,052.53 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 today. This leaves at least ZAR 53,063.32 available over the next 90 days."
request_245,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 128,500.00 request. None of the available options keeps the INR 94,600.00 minimum protected."
request_246,0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments, starting 03 April 2026. This leaves at least ZAR 168,522.12 available."
request_247,0,not_affordable,not_recommended,none,2024-11-13,none,"Do not proceed with the EUR 1,059.30 request. None of the available options keeps the EUR 1,300.00 minimum protected."
request_248,977.62,affordable_with_plan,partial_payment,2025-02-07:977.62|2025-04-14:987.98,2025-04-14,none,"Pay the safe amount today and the remainder on 14 April 2025. This completes the full request and keeps the USD 1,300.00 minimum protected."
request_249,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 643.20 request. None of the available options keeps the USD 600.00 minimum protected.
request_250,0,not_affordable,not_recommended,none,2025-02-12,none,"Do not proceed with the ZAR 124,278.00 request. None of the available options keeps the ZAR 35,300.00 minimum protected."
request_251,0,not_affordable,not_recommended,none,2025-05-03,none,"Do not proceed with the EUR 1,513.60 request. None of the available options keeps the EUR 1,300.00 minimum protected."
request_252,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 28,082,000.00 request. None of the available options keeps the IDR 15,152,200.00 minimum protected."
request_253,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,840.20 request. None of the available options keeps the EUR 2,300.00 minimum protected."
request_254,0,affordable_later,wait,2025-10-13:3535.2,2025-10-13,none,"Wait until 13 October 2025, then pay USD 3,535.20 in full. Paying earlier would put the USD 2,500.00 minimum at risk."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 today. This leaves at least IDR 31,614,317.99 available over the next 90 days."
request_256,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 218,700.00 request. None of the available options keeps the INR 168,600.00 minimum protected."
request_257,0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,352.40 request. None of the available options keeps the USD 1,600.00 minimum protected."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 1,195.87 available over the next 90 days."
request_259,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 935.00 request. None of the available options keeps the EUR 600.00 minimum protected.
request_260,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000.00 request. None of the available options keeps the IDR 20,727,700.00 minimum protected."
request_261,0,affordable_later,wait,2026-07-15:1830.4,2026-07-15,none,"Wait until 15 July 2026, then pay EUR 1,830.40 in full. Paying earlier would put the EUR 1,500.00 minimum at risk."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today. This leaves at least IDR 46,828,761.90 available over the next 90 days."
request_263,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546.00 request. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_264,0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 111,300.00 request. None of the available options keeps the INR 59,500.00 minimum protected."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970.00 today. This leaves at least INR 692,634.58 available over the next 90 days."
request_266,0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments, starting 03 August 2025. This leaves at least EUR 1,431.54 available."
request_267,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,925.00 request. None of the available options keeps the EUR 1,500.00 minimum protected."
request_268,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,426.60 request. None of the available options keeps the EUR 1,400.00 minimum protected."
request_269,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 15,490.00 request. None of the available options keeps the ZAR 23,100.00 minimum protected."
request_270,0,not_affordable,not_recommended,none,2026-09-13,none,"Do not proceed with the USD 3,028.80 request. None of the available options keeps the USD 1,400.00 minimum protected."
request_271,0,affordable_later,wait,2024-11-13:91300,2024-11-13,none,"Wait until 13 November 2024, then pay INR 91,300.00 in full. Paying earlier would put the INR 58,200.00 minimum at risk."
request_272,0,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,"Use 3 installments, starting 12 February 2025. This leaves at least IDR 7,695,511.20 available."
request_273,5115697.1,affordable_with_plan,partial_payment,2026-04-07:5115697.10|2026-06-13:10745302.90,2026-06-13,none,"Pay the safe amount today and the remainder on 13 June 2026. This completes the full request and keeps the IDR 18,774,600.00 minimum protected."
request_274,0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,713.70 request. None of the available options keeps the EUR 1,800.00 minimum protected."
request_275,0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,884,000.00 request. None of the available options keeps the IDR 12,760,100.00 minimum protected."
